metric,value,category,model
silhouette_batch_crohns_pbmc,0.004138316397501316,per_study,immune_integration_rna
silhouette_batch_lung_spleen_gse319044,0.004170154596183215,per_study,immune_integration_rna
silhouette_label,0.008979443321784774,global,immune_integration_rna_baseline_with_bias_bg
silhouette_batch,-0.013608132236751894,global,immune_integration_rna_baseline_with_bias_bg
ARI_leiden_vs_label,0.0801932192190067,global,immune_integration_rna_baseline_with_bias_bg
NMI_leiden_vs_label,0.39872798483342325,global,immune_integration_rna_baseline_with_bias_bg
iLISI_median,11.218463592181623,global,immune_integration_rna_baseline_with_bias_bg
iLISI_mean,11.855290467252948,global,immune_integration_rna_baseline_with_bias_bg
cLISI_median,2.4489568760004428,global,immune_integration_rna_baseline_with_bias_bg
cLISI_mean,2.7189007206700313,global,immune_integration_rna_baseline_with_bias_bg
LISI_subsample_n,31420.0,global,immune_integration_rna_baseline_with_bias_bg
silhouette_batch_bone_marrow,-0.01153686282743419,per_study,immune_integration_rna_baseline_with_bias_bg
silhouette_batch_crohns_pbmc,-0.006319156483602549,per_study,immune_integration_rna_baseline_with_bias_bg
silhouette_batch_lung_spleen_gse319044,-0.0023746477826997498,per_study,immune_integration_rna_baseline_with_bias_bg
silhouette_label,0.009273237369829282,global,immune_integration_rna_baseline_without_bias_bg
silhouette_batch,-0.010860006469021917,global,immune_integration_rna_baseline_without_bias_bg
ARI_leiden_vs_label,0.12413767465822044,global,immune_integration_rna_baseline_without_bias_bg
NMI_leiden_vs_label,0.44575099663823065,global,immune_integration_rna_baseline_without_bias_bg
iLISI_median,10.727627230422822,global,immune_integration_rna_baseline_without_bias_bg
iLISI_mean,11.800068578142225,global,immune_integration_rna_baseline_without_bias_bg
cLISI_median,2.291358693863001,global,immune_integration_rna_baseline_without_bias_bg
cLISI_mean,2.5852905463157323,global,immune_integration_rna_baseline_without_bias_bg
LISI_subsample_n,31420.0,global,immune_integration_rna_baseline_without_bias_bg
silhouette_batch_bone_marrow,-0.011754858728084017,per_study,immune_integration_rna_baseline_without_bias_bg
silhouette_batch_crohns_pbmc,-0.0025582301879312117,per_study,immune_integration_rna_baseline_without_bias_bg
silhouette_batch_lung_spleen_gse319044,-0.0022143838383903835,per_study,immune_integration_rna_baseline_without_bias_bg
silhouette_label,0.029855005278253202,global,immune_integration_rna_bg_flat
silhouette_batch,-0.006013284120950321,global,immune_integration_rna_bg_flat
ARI_leiden_vs_label,0.1883478847818319,global,immune_integration_rna_bg_flat
NMI_leiden_vs_label,0.5781961918008416,global,immune_integration_rna_bg_flat
iLISI_median,5.159011570291224,global,immune_integration_rna_bg_flat
iLISI_mean,7.535406322506086,global,immune_integration_rna_bg_flat
cLISI_median,1.264242997294867,global,immune_integration_rna_bg_flat
cLISI_mean,1.4869341599627788,global,immune_integration_rna_bg_flat
LISI_subsample_n,31420.0,global,immune_integration_rna_bg_flat
silhouette_batch_bone_marrow,-0.007494500012585831,per_study,immune_integration_rna_bg_flat
silhouette_batch_crohns_pbmc,0.0024605622253301347,per_study,immune_integration_rna_bg_flat
silhouette_batch_lung_spleen_gse319044,0.013735573830260531,per_study,immune_integration_rna_bg_flat
silhouette_label,0.015830806107420523,global,immune_integration_rna_disp_data_prior1
silhouette_batch,-0.005286674400018262,global,immune_integration_rna_disp_data_prior1
ARI_leiden_vs_label,0.17252945638490796,global,immune_integration_rna_disp_data_prior1
NMI_leiden_vs_label,0.544530949376766,global,immune_integration_rna_disp_data_prior1
iLISI_median,10.191895694682437,global,immune_integration_rna_disp_data_prior1
iLISI_mean,11.945820464299734,global,immune_integration_rna_disp_data_prior1
cLISI_median,1.6407504175129555,global,immune_integration_rna_disp_data_prior1
cLISI_mean,1.8919219775383969,global,immune_integration_rna_disp_data_prior1
LISI_subsample_n,32826.0,global,immune_integration_rna_disp_data_prior1
silhouette_batch_bone_marrow,-0.012168979212526552,per_study,immune_integration_rna_disp_data_prior1
silhouette_batch_crohns_pbmc,0.0015499310729465638,per_study,immune_integration_rna_disp_data_prior1
silhouette_batch_lung_spleen_gse319044,0.004139433990477766,per_study,immune_integration_rna_disp_data_prior1
silhouette_label,0.009090124779188122,global,immune_integration_rna_dwl2_001
silhouette_batch,-0.012837467892413593,global,immune_integration_rna_dwl2_001
ARI_leiden_vs_label,0.08656771326017607,global,immune_integration_rna_dwl2_001
NMI_leiden_vs_label,0.4109289984719859,global,immune_integration_rna_dwl2_001
iLISI_median,11.768256832253961,global,immune_integration_rna_dwl2_001
iLISI_mean,12.385196249180698,global,immune_integration_rna_dwl2_001
cLISI_median,2.4679890174254586,global,immune_integration_rna_dwl2_001
cLISI_mean,2.717331550452103,global,immune_integration_rna_dwl2_001
LISI_subsample_n,31420.0,global,immune_integration_rna_dwl2_001
silhouette_batch_bone_marrow,-0.011940402062473566,per_study,immune_integration_rna_dwl2_001
silhouette_batch_crohns_pbmc,-0.0047142747784743155,per_study,immune_integration_rna_dwl2_001
silhouette_batch_lung_spleen_gse319044,-0.0008545859043954167,per_study,immune_integration_rna_dwl2_001
silhouette_label,0.008537005100574424,global,immune_integration_rna_dwl2_01
silhouette_batch,-0.013031504228121257,global,immune_integration_rna_dwl2_01
ARI_leiden_vs_label,0.08891448872275495,global,immune_integration_rna_dwl2_01
NMI_leiden_vs_label,0.4161323529798807,global,immune_integration_rna_dwl2_01
iLISI_median,10.592443375537181,global,immune_integration_rna_dwl2_01
iLISI_mean,11.414190767365106,global,immune_integration_rna_dwl2_01
cLISI_median,2.346709006415735,global,immune_integration_rna_dwl2_01
cLISI_mean,2.5900495265922725,global,immune_integration_rna_dwl2_01
LISI_subsample_n,31420.0,global,immune_integration_rna_dwl2_01
silhouette_batch_bone_marrow,-0.012206278710914524,per_study,immune_integration_rna_dwl2_01
silhouette_batch_crohns_pbmc,-0.006181579517406289,per_study,immune_integration_rna_dwl2_01
silhouette_batch_lung_spleen_gse319044,-0.0004254214657608924,per_study,immune_integration_rna_dwl2_01
silhouette_label,0.008123999879086064,global,immune_integration_rna_dwl2_01_bias_mean_batchbg02
silhouette_batch,-0.015103344118146851,global,immune_integration_rna_dwl2_01_bias_mean_batchbg02
ARI_leiden_vs_label,0.08852016568574671,global,immune_integration_rna_dwl2_01_bias_mean_batchbg02
NMI_leiden_vs_label,0.4084911874027037,global,immune_integration_rna_dwl2_01_bias_mean_batchbg02
iLISI_median,10.577129566062172,global,immune_integration_rna_dwl2_01_bias_mean_batchbg02
iLISI_mean,11.311898268979524,global,immune_integration_rna_dwl2_01_bias_mean_batchbg02
cLISI_median,2.3993477397816605,global,immune_integration_rna_dwl2_01_bias_mean_batchbg02
cLISI_mean,2.660606383797367,global,immune_integration_rna_dwl2_01_bias_mean_batchbg02
LISI_subsample_n,31420.0,global,immune_integration_rna_dwl2_01_bias_mean_batchbg02
silhouette_batch_bone_marrow,-0.01395430528771488,per_study,immune_integration_rna_dwl2_01_bias_mean_batchbg02
silhouette_batch_crohns_pbmc,-0.006297543165238907,per_study,immune_integration_rna_dwl2_01_bias_mean_batchbg02
silhouette_batch_lung_spleen_gse319044,-0.0005532799725368292,per_study,immune_integration_rna_dwl2_01_bias_mean_batchbg02
silhouette_label,0.008895552552393831,global,immune_integration_rna_dwl2_01_bias_mean_batchbg02_repeat2
silhouette_batch,-0.01527877091994396,global,immune_integration_rna_dwl2_01_bias_mean_batchbg02_repeat2
ARI_leiden_vs_label,0.08773116833920544,global,immune_integration_rna_dwl2_01_bias_mean_batchbg02_repeat2
NMI_leiden_vs_label,0.4081310979580385,global,immune_integration_rna_dwl2_01_bias_mean_batchbg02_repeat2
iLISI_median,10.632282401186615,global,immune_integration_rna_dwl2_01_bias_mean_batchbg02_repeat2
iLISI_mean,11.517493348551472,global,immune_integration_rna_dwl2_01_bias_mean_batchbg02_repeat2
cLISI_median,2.4495367978369504,global,immune_integration_rna_dwl2_01_bias_mean_batchbg02_repeat2
cLISI_mean,2.6829667525345524,global,immune_integration_rna_dwl2_01_bias_mean_batchbg02_repeat2
LISI_subsample_n,31420.0,global,immune_integration_rna_dwl2_01_bias_mean_batchbg02_repeat2
silhouette_batch_bone_marrow,-0.015838049491252237,per_study,immune_integration_rna_dwl2_01_bias_mean_batchbg02_repeat2
silhouette_batch_crohns_pbmc,-0.006071541772961641,per_study,immune_integration_rna_dwl2_01_bias_mean_batchbg02_repeat2
silhouette_batch_lung_spleen_gse319044,-0.00030559315795653105,per_study,immune_integration_rna_dwl2_01_bias_mean_batchbg02_repeat2
